Palestrante;Minibio
Jean Trindade;Jean Trindade Pereira é gamer desde os 5 anos de idade, tradutor de jogos EN>PTBR desde 2015 e criador do LocJump Podcast, um podcast focado em localização de jogos. Começou traduzindo voluntariamente, antes de dedicar-se ao ramo profissional em 2017. Adora games de PC, principalmente os de tiro em primeira pessoa, e mods (modificações). Possui moderada experiência com legendagem. O aprendizado constante é uma de suas paixões.
;
Jerusa Marreti;"Jerusa Marreti atua há 13 anos como Gerente de projetos de tradução em uma agência de traduções. Durante esse tempo, participou de dois congressos da American Translators Association (em Chicago, 2014; e em Washington, 2018). A palestrante é graduada em Comunicação Social - Publicidade e Propaganda pela Unisal e pós-graduada em Gestão Estratégica de Negócios pela Unicamp. Há 27 anos, começou a atuar como tradutora freelancer (português, inglês e espanhol), função que desempenha até os dias de hoje, especialmente em projetos da área religiosa (cristã) e comportamental, além de marketing, negócios e, recentemente, food service, desde que se formou em Sommelieria Cervejeira."
;
Jéssica Gubert;Jéssica Gubert traduz jogos, revisa jogos, ensina jogos, testa jogos e, no tempo livre, joga jogos. De mesa, de preferência. Formada em Letras com habilitação em Inglês pela USP, um dia achou que trabalharia com livros. Passou um breve período no Marketing de uma das maiores editoras (de livros) do país. Depois de constatar uma aptidão para textos técnicos e vencer uma das várias LocJAMs de que já participou, se encontrou mesmo na localização e LQA. No jornalismo digital, publicou mais de 4 mil traduções e teve que aprender 7 formas diferentes de traduzir “rank”.
;
Joacyr Oliveira ;"Joacyr Oliveira é docente no CEL - UNICAMP. Possui doutorado e mestrado em Letras, ambos pela USP, além de um mestrado em Linguística pela Universidade de Minnesota, nos EUA. Sua pesquisa concentra-se nas aplicações da Linguística de Corpus, com foco na compilação e no uso didático de corpora de aprendizes, tanto no ensino de línguas quanto na formação de tradutores.

"
;
Jorge Davidson;Jorge Davidson é doutor em História Social (UFF) e mestre em Estudos da Linguagem (PUC-Rio).Tradutor freelance inglês/português/espanhol especializado em marketing de produtos tecnológicos, conteúdo técnico, TI, meio-ambiente e Ciências Sociais. Membro da Abrates, capacitador e palestrante. Conta com mais de dez anos de experiência em tradução, gestão de projetos e localização, trabalhando para empresas grandes e pequenas, agências de tradução e clientes diretos de diversas áreas.
;
Jorge Rodrigues;Tradutor especializado nas áreas jurídica, empresarial, societária e criativa.
;
Júlia Jacóbi;Júlia Jacóbi é formada em Design de Moda e trabalha como tradutora e legendista especializada em moda e luxo. Atua também em áreas como entretenimento e educação, tanto na tradução quanto na legendagem. Atualmente, cursa pós-graduação em Tradução de Inglês. É apaixonada por moda tecnológica e pela prática do pole acrobático.
;
Juliana Fernandes;Especialista em Docência no Ensino Superior. Bacharela em Tradução e Interpretação pelo Letras-Libras da UFSC. Tradutora, Intérprete, Instrutora de Libras/Português certificada pelo PROLIBRAS e Guia-Intérprete. Membro fundador e já foi vice-presidente da APILSBESP, atualmente é integrante do Conselho Fiscal, também já foi vice tesoureira da FEBRAPILS. Atuante desde 1995, sendo mais recentemente: integrante da equipe técnica da ProDeaf, interlocutora e professora em sala de recurso multifuncional para alunos surdos pela SEESP. Atualmente TILS pela Central da UNICAMP, docente em cursos de graduação, pós-graduação, extensão e na modalidade livre, palestrante, ativamente atuante e experiente em diversas esferas de tradução e interpretação.
;
Juliana Gallo;Juliana Gallo é publicitária e tradutora audiovisual. Também traduz jogos de tabuleiro.
;
Juliana Chagas Lima;Tradutora e revisora profissional, com experiência em agências de publicidade e em departamentos de marketing e comunicação organizacional de grandes empresas e cooperativas, além de docência em cursos de graduação e pós-graduação. Atualmente, é coordenadora dos cursos de Publicidade e Propaganda e de Jornalismo na Unicesumar. Mestre e Doutoranda em Letras pela Universidade Estadual de Maringá (UEM), na área de Linguística Textual com foco na produção de sentidos no texto publicitário. Especialista em Marketing pela Fundação Getúlio Vargas e em Tradução pela Universidade Estácio de Sá. Graduada em Comunicação Social Jornalismo pela Universidade Federal do Paraná e em Letras Português/Inglês pela Unicesumar. Em pesquisa, atua principalmente no campo da Linguística Textual e Teorias do Texto, com foco na coerência e produção de sentidos no texto publicitário.
;
Juliana Machado;Juliana Machado, psicóloga atuante na área clínica, especialista em Psicologia Hospitalar pelo Hospital das Clínicas de São Paulo (HCFMUSP), em formação de Psicanálise Winnicottiana pelo IBPW.
;
Juliana Pazetti;Juliana Pazetti, administradora de empresas, especializada em finanças e pós-graduada em traduções inglês > português. Aos 14 anos passou a integrar a seleção brasileira de natação onde teve o privilégio de atuar por cerca de quatro anos, período em que teve o prazer de, além de competir, conhecer pessoas e países de todo o mundo, conhecimento esse de valor incalculável e que se reflete em seu trabalho até hoje. Traduz profissionalmente há 15 anos e há 10 fundou a Pazetti Traduções, empresa criada para conectar empresas e pessoas e hoje especializada em B2B e alicerçada nos aprendizados que teve ao longo de toda sua vida.
;
Juliana Samel;Interpretação de conferências, tradução e revisão de textos nas áreas de medicina, saúde em geral, estudos clínicos, eventos adversos, termos de consentimento, protocolos, manuais.
;
Karen Tkaczyk;Karen Tkaczyk é Diretora de Soluções em Life Sciences na MasterWord, Inc. Com mestrado pela University of Manchester e doutorado pela University of Cambridge, ambos no Reino Unido e em Química, o início da carreira de Karen foi na indústria farmacêutica, na Irlanda. Após se mudar para os EUA, criou e administrou a McMillan Translation Inc. Tradutora freelance (francês - inglês) desde 2005, Karen mora em Denver, Colorado. O voluntariado sempre fez parte de seus hábitos de trabalho. Conecte-se com ela em @ChemXlator. Karen Tkaczyk is Director of Life Sciences Solutions at MasterWord, Inc. After earning an MChem in Chemistry with French from the University of Manchester, UK and a PhD in Chemistry from the University of Cambridge, UK, Karen’s early career was as a development chemist in the pharmaceutical industry in Ireland. After moving to the USA, she established and ran McMillan Translation Inc., where she was a freelance translator (French into English) from 2005 to 2021. She is based in the Denver, Colorado area. Volunteering has always been part of her work habits. Connect with her at @ChemXlator.
;
Karine Ribeiro;Mineira, Karine Ribeiro é escritora e tradutora. Graduada em Letras - Tradução pela UFMG, já traduziu mais de 50 títulos, entre eles Em Busca de Mim, biografia de Viola Davis, A Sociedade de Atlas, de Olivie Blake e Sangue Dourado, de Namina Forna. Atua também na gerência editorial da Editora Wish.
;
Karine Souto;Karìne Souto é intérprete de conferência e especialista em comunicação, com atuação em eventos internacionais de grande porte, incluindo a COP 28 em Dubai. Já palestrou em congressos como ABRATES, TRADUSA, Translators 101, PROFT e na Semana do Tradutor da UNESP. Também ministra cursos de atualização e aperfeiçoamento para intérpretes, tendo treinado mais de 100 profissionais. Com mais de 15 mil conexões no LinkedIn, utiliza a plataforma para impulsionar sua carreira e atrair clientes, enquanto promove a democratização da profissão, reforçando a importância da excelência, ética e diversidade no setor.
;
Karoline Melo;Karoline Melo é formada em Letras – Tradução Português-Inglês pela UFMG e atua no mercado literário desde 2013 — antes como hobby, agora como profissão. Além de traduzir, também prepara, revisa, escreve e faz análise crítica e leitura sensível para diversas editoras do Brasil. É agente literária e, em 2024, fundou a Agência Moneta. Em seu tempo livre, gosta de se aventurar em histórias com romance, viagem no tempo, universos paralelos e finais abertos.
;
Katia Buffolo;"Meu nome é Katia Buffolo.
A paixão por livros e palavras sempre norteou a minha carreira. Sou jornalista,
formada pela Cásper Líbero, e tradutora de espanhol e inglês. Trabalhei como
redatora para agências de Relações Públicas e revistas. Fui editora na Paz e
Terra e criei o meu selo, a Acatu.
Nos últimos anos, a tradução conquistou cada vez mais espaço na minha vida.
Traduzi livros, fiz pós-graduação em tradução de espanhol, concluí os Cursos
Formativo e de Aprimoramento para Tradutores Literários do Centro de
Estudos Literários da Casa Guilherme de Almeida, e cursei graduação em
Letras Português/Inglês e pós-graduação em Marketing."
;
Katia Georges Chedraoui;Libanesa nativa, com mais de 20 anos de experiência profissional de tradução e interpretação Consecutiva / Simultânea, nos idiomas: Árabe<> Português<> Espanhol, formada em letras (Português / Espanhol) – Faculdade Educacional da Lapa, conto com o tempo de residência e Vivência cultural de 19 anos no Líbano, 14 anos na Venezuela e 20 anos no Brasil, até o momento. Professora de Árabe e Espanhol para executivos, adultos em geral. Iniciei minha carreira aos 14 anos, como intérprete consecutiva em reuniões empresariais para negociações comerciais nas línguas Árabe<>Português na cidade de Achrafie - Beirute - Líbano.
;
Kelly Elizeu;Tradutor experiente de Ciências da Vida (inglês para português do Brasil) com histórico na indústria de tradução e localização, com foco em Ensaios Clínicos, Documentos Farmacêuticos, Dispositivos Médicos, Biotecnologia, Pesquisa de Mercado e Marketing. Trabalhou como Associado de Pesquisa Clínica em vários estudos de Fase II, III e IV em oncologia e obstetrícia em uma empresa farmacêutica e um CRO.
;
Leandra Machado;Me chamo Leandra Machado e sou tradutora para dublagem de língua espanhola e turca. Me formei em Letras português/ espanhol pela Universidade Federal Fluminense- UFF, onde me apaixonei pela Linguística, sendo assim, após me formar ingressei em um pós-graduação de Linguística e logo que a finalizei fui aceita na Universidade do Estado do Rio de Janeiro- UERJ para cursar o mestrado em Estudos Linguísticos. Nessa mesma época, conheci a área de tradução para dublagem e foi um caminho sem volta. Realizei diversos cursos na área e, inclusive, outra pós-graduação em Tradução audiovisual. Atualmente, estou cursando o doutorado em Letras Neolatinas na Universidade Federal do Rio de Janeiro- UFRJ e sigo me especializando cada vez mais na área de tradução audiovisual.
;
Laila Compan;Tradutora profissional graduada em Pedagogia pela Universidade Federal do Rio de Janeiro, pós-graduada em Tradução de Espanhol pela Universidade Estácio de Sá, associada à Associação Brasileira de Tradutores e Intérpretes, trabalha principalmente com tradução para dublagem e legendagem (espanhol > português). Tem trabalhos realizados junto a grandes agências e estúdios de dublagem, de filmes de comédia, comédia romântica, romance, drama, novelas, seriados adulto e infantil. Também trabalha para diversos clientes diretos legendando vídeos para redes sociais, cursos online e material corporativo. Fez cursos de Tradução para Dublagem com Dilma Machado, ACME e Estrada. Também fez cursos de Legendagem na GTC Treinamento e na Estácio Cult.
;
Lara Talhaferro;Lara Cristina Santos Talhaferro é bacharela em Letras com Habilitação de Tradutor (Inglês) e mestra em Estudos Linguísticos (Estudos da Tradução) pela UNESP de São José do Rio Preto. Durante sua carreira acadêmica, realizou pesquisas sobre a relação entre tradutores em formação e tecnologias de tradução. Foi, de 2018 a 2020, professora substituta no Instituto de Letras e Linguística da Universidade Federal de Uberlândia, na área de língua inglesa, e ministrou disciplinas nos cursos de Tradução, Letras e Relações Internacionais. Atualmente, atua como crowdfunding creator em uma empresa estadunidense, criando e gerenciando campanhas de financiamento coletivo na plataforma Kickstarter.
;
Larissa Albaladejo;MBA em Gestão Estratégica e Econômica de Negócios pela FGV. Pós-graduada em Língua Inglesa e Bacharela em Letras - Tradutor/Intérprete pela UNIBERO. Certificada pelo The Localization Institute em Gerenciamento de Projetos de Localização. Cursou Business Law e Introduction to Business na Montgomery College/EUA. É VP de Operações e Sócia na Korn Traduções.
;
Laura Folgueira;Laura Folgueira é tradutora, preparadora e revisora de textos de algumas das maiores editoras do país, como Companhia das Letras, HarperCollins, Nova Fronteira, Intrínseca e Planeta. É mestre em estudos da tradução pela USP (Universidade de São Paulo) e é especialista em literatura brasileira pela PUC-SP (Pontifícia Universidade Católica de São Paulo). É autora de Eu e não outra: a vida intensa de Hilda Hilst (Tordesilhas, 2018).
;
Laurieny Vilela;Desde sempre sou apaixonada por comunicação e linguagem, tendo trilhado caminhos que me fizeram, hoje, ajudar pessoas a compartilharem sua mensagem em todo o mundo! Sou formada em Tradução pela Universidade Federal de Uberlândia e fiz graduação sanduíche em Tradución y Mediación Interlinguística pela Universitat de Valencia, na Espanha. Também sou mestre em Estudos da Tradução pela Universidade de Brasília.
;
Leandra Machado ;Me chamo Leandra Machado e sou tradutora para dublagem de língua espanhola e turca. Me formei em Letras português/ espanhol pela Universidade Federal Fluminense- UFF, onde me apaixonei pela Linguística, sendo assim, após me formar ingressei em um pós-graduação de Linguística e logo que a finalizei fui aceita na Universidade do Estado do Rio de Janeiro- UERJ para cursar o mestrado em Estudos Linguísticos. Nessa mesma época, conheci a área de tradução para dublagem e foi um caminho sem volta. Realizei diversos cursos na área e, inclusive, outra pós-graduação em Tradução audiovisual. Atualmente, estou cursando o doutorado em Letras Neolatinas na Universidade Federal do Rio de Janeiro- UFRJ e sigo me especializando cada vez mais na área de tradução audiovisual.
;
Leilane Papa;Antes de fundar a Dispositiva, acumulei mais de uma década de experiência na área de Tradução e Legendagem, participando de diversos projetos e treinando novos profissionais. Atuo na área de seleção, treinamento e certificação da equipe de tradução e de revisão, com foco no direcionamento dos serviços, na padronização do produto e na qualidade final do material.
;
Leonardo Padovani;"Leonardo Padovani acumula mais de 10.200 horas (1.900 dias) em mais de 1.100 eventos ao longo de 15 anos. Interpreta em diferentes áreas do conhecimento, como TI, saúde, economia e governo, meio-ambiente e medicina. Leonardo tem ampla experiência em ambientes multiculturais e já interpretou em inúmeras reuniões e conferências internacionais, como a Conferência Mundial da OIT, a Rio+20, o Fórum Mundial da Água, posses presidenciais, visitas de chefes de estado e governo e delegações internacionais.
Leonardo é Tradutor Juramentado (TPIC) junto à JUCIS-DF e filiado e certificado pela ABRATES (Associação Brasileira de Tradutores).
"
;
Leo Pinheiro;"Leo Pinheiro, é jornalista, ator, dublador, e diretor de dublagem carioca. Em 2007 ingressou na Herbert Richers, e, em seguida, começou a dublar em quase todas as casas de dublagem do Rio de Janeiro, e em alguns estúdios de São Paulo. Durante quase duas décadas, dublou centenas de personagens em filmes, séries, telenovelas e animações. É a voz brasileira de Mark Consuelos, entre outros. Na direção de dublagem, foi responsável pela versão brasileira de filmes como American Sicario; O Despertar de Um Assassino; Tacada de Mestre; Metaleiros de Jesus; O Golpe; A Grande Guerra; e de séries da Disney como Os Franceses."
;
Leonardo Tórtoro;"Leonardo Tórtoro Pereira é Professor Assistente Doutor na UNESP de Rio Claro, pelo Instituto de Geociências e Ciências Exatas (IGCE), no Departamento de Estatística, Matemática Aplicada e Computação. É Bacharel em Ciências de Computação e Mestre e Doutor em Ciências de Computação e Matemática Computacional pelo ICMC-USP, em São Carlos. Suas principais áreas de interesse são aplicações computacionais em jogos digitais, entre elas, o uso de inteligência artificial para criação de conteúdo e simulação de jogadores, interação humano-computador e engenharia de software aplicada a jogos, jogos sérios e gamificação.
"
;
Lenita Esteves;Lenita é professora titular de teoria e prática de tradução na Universidade de São Paulo. Trabalha como tradutora, especialmente junto a editoras. Atualmente seus temas de pesquisa são Tradução e Ética, Historiografia da Tradução e Literatura Brasileira traduzida para o inglês.
;
Letícia Sallorenzo;Doutoranda em Linguística pela Universidade de Brasília (2020). Mestra em Linguística pela UnB (2018). Jornalista graduada pela Universidade Federal do Rio de Janeiro (1996). Graduação em Letras Português e respectivas Literaturas pela UnB (2019). Tem experiência na área de Comunicação, com ênfase em Jornalismo e Editoração. Autora do livro Gramática da Manipulação, publicado pela Quintal Edições.
;
Lia Bittencourt;"Tradutora e revisora de texto, especialista em Língua Portuguesa. Escritora, poeta, brincante das palavras. Professora de português e de tradução. Principais áreas de atuação: comércio exterior, administração, logística, marketing, educação e literatura. Membro do ProZ.com Certified PRO Network. Autora de um dos livros da Coleção 8 Cantos do Mundo - ""Polo Sul, A Primeira Aventura Gelada"" -> https://8cantos.marcelosalves.esp.br"
;
Liam Gallagher;A LAG Traduções e Serviços de Consultoria Limitada foi fundada em 2006 por mim, Liam Gallagher, norte-irlandês radicado há 33 anos no Brasil, dos quais 24 no mercado financeiro. Já atuei também como professor de inglês para negócios, entre 2003 e 2006, e em resposta à demanda do mercado financeiro por serviços de tradução de qualidade nativa, além de consultoria em inglês para negócios, decidi criar a LAG Traduções e Serviços de Consultoria, oferecendo uma abordagem diferenciada fundamentada nos 24 anos de experiência no mercado financeiro brasileiro e internacional. Atualmente eu estou cursando o último semestre do Curso Sequencial de Intérprete da Língua Inglesa, na PUC, São Paulo. Já vinha atuando como intérprete em pequenas reuniões de negócios, teleconferências e videoconferências. Uma vez concluído o curso, pretendo trabalhar como intérprete de congresso, acrescentando este serviço à lista já existente. Hoje, eu trabalho com uma carteira diversificada de bancos, seguradoras, agências de comunicação e marketing, empresas de RH e de SW, entre outros setores. Além disso, presto serviços para outras agências de tradução.
;
Ligia Sobral Fragano;Sócia-fundadora da Little Brown Mouse, Ligia é a força motriz por trás da transformação do ofício freelance de seu pai em uma empresa de tradução audiovisual de destaque no Brasil. Com formação em Letras pela FFLCH/USP e um MBA em Gestão Estratégica de Negócios pela FIAP, há mais de uma década Ligia conduz a LBM com afeto e excelência, sempre focada em tecnologia e inovação. Em sua mais recente empreitada, lançou a Avellan, uma plataforma de legendagem automática com um modelo proprietário de IA, levando tecnologia de legendagem de ponta para a comunidade audiovisual profissional.
;
Luana Santos;Luana Santos é formada em Letras com ênfase em Tradução pela Pontifícia Universidade Católica de São Paulo e é mestranda em Business Administration pela London School of Commerce. Luana atua na área de gerenciamento de projetos de tradução e localização e possui experiência nos dois lados da moeda: multinacionais que vendem e multinacionais que compram serviços de localização. Apaixonada por localização, tecnologia, multiculturalismo e diversidade, Luana acredita que a localização facilita vidas, constrói pontes e conecta diferentes culturas.
;
Luciana Bonancio;Natural de Curitiba, Luciana Bonancio é tradutora inglês/português há mais de vinte anos. Especialista em tradução na área da saúde, é formada em Medicina Veterinária pela UFPR e pós-graduada em Tradução pela PUC/PR e em Docência do Ensino Profissionalizante pelo SENAC/PR. Professora de tradução de artigos científicos, exames laboratoriais e de imagem, textos médicos com variantes culturais, medicina veterinária, cardiologia, oncologia e dermatologia em cursos livres e na pós-graduação em tradução médica do Centro Universitário São Camilo. É associada e mentora da Associação de Profissionais de Tradução e de Interpretação (APTRAD) e associada da Associação Brasileira de Tradutores e Intérpretes (ABRATES), onde faz parte da diretoria e coordena o programa de educação continuada para tradutores.
;
Luciana Boldorini;Luciana “Lu” Galeani Boldorini, formada em publicidade e propaganda e letras. Leciona inglês desde 1998 e já desenvolveu material didático na área. Atua como tradutora e revisora de texto técnicos, publicitários, jogos de tabuleiro e textos em geral desde 2010. Coautora de textos para o blog da revista Revide Online. Integrante de um grupo de estudos e pesquisas na Faculdade de Filosofia, Ciências e Letras da Universidade de São Paulo em Ribeirão Preto. Preto. É também pós-graduada em Linguística Aplicada e Ensino da Língua Inglesa e atualmente é mestranda no programada de Educação na USP de Ribeirão Preto. É jogadora de boardgames, videogames e RPG desde... sempre! Estudou o RPG como ferramenta didática na faculdade, tamanho é o gosto pelo assunto. Amante de filmes clássicos, desenhos animados sem noção e HQs sombrias, fez de seu hobby sua profissão.
;
Luciane Camargo;Formada em Letras pela Universidade de São Paulo (USP), Tradução e Interpretação pela Associação Alumni e pós-graduada em Interpretação de Conferências pela Universidade Estácio, Luciane atua como tradutora desde 2007 e como intérprete de conferências desde 2011 e é membro candidato da APIC desde 2017, mesmo ano que foi professora no Curso de Tradução e Interpretação da Associação Alumni. Entre suas principais áreas de atuação estão cosméticos, marketing, papel e celulose e finanças nos idiomas português, inglês e italiano. Concilia a carreira profissional com a criação de sua filha Lavínia (3 anos) com muito orgulho e dedicação.
;
Luidg Quitete;Luidg Quitete, Contador, com pós-graduação na área de Contabilidade e Auditoria, mestrando em Auditoria e Gestão empresarial, professor universitário e com atuação como contador em empresas multinacionais. Atualmente perito judicial do TJ/RJ, e sócio proprietário da empresa Contável Contabilidade, com atuação em vários estados.
;
Luigi Ricciardi;"Luís Cláudio Ferreira Silva usa o nome artístico de
Luigi Ricciardi. Formado em Letras
Português/Frances pela UEM, tem também
mestrado em Letras pela mesma instituição. É
doutor em literatura pela UNESP. É escritor,
professor, editor e tradutor. Atualmente é professor
na UEL."
;
Luiz Fernando Alves;Luiz Fernando Alves (EN<>PTBR) é fã de narrativa e de uma história bem contada. Essa predileção o leva a sempre preferir trabalhar com material criativo. A maior parte de sua experiência profissional está em legendagem, localização e transcriação, áreas pelas quais é apaixonado. Formado em Design Gráfico pela UFPR, depois de alguns anos seguiu o coração e largou tudo para ser tradutor em tempo integral. Ministrou aulas de legendagem na pós-graduação da PUCPR e no SET, seu curso livre on-line criado em parceria com a Verve LSP. Hoje traduz principalmente legendas e treinamentos corporativos enquanto planeja as próximas aventuras.
;
Luiza Leite Ferreira;Luiza Leite Ferreira é formada em Jornalismo pela UFF e tem especialização em Técnicas, Práticas e Estudos de tradução pela PUC-Rio. Trabalha na Satsuma desde 2018, atuando em projetos de localização e criação de conteúdo para grandes empresas de tecnologia e turismo. Desde 2020, atua como revisora e coordena as redes sociais da Satsuma.
;
Luiza Levy;"Luiza Levy é formada pelo Curso de Formação de Tradutores e Intérpretes da Associação Alumni e atua na área desde 2013. Além de experiência no mercado de tradução e interpretação, Luiza atua no mercado de educação há mais de 20 anos, tendo passado por cargos de docência, gestão e diretoria em escolas no Brasil e Canadá. Atualmente dá aulas de interpretação simultânea na Associação Alumni.
"
;
Manuela Sampaio;Com formação em Direito, Manuela uniu seu conhecimento jurídico ao domínio do inglês — idioma no qual foi alfabetizada — e iniciou carreira como tradutora jurídica em 2008. Encantada pela dinâmica da comunicação ao vivo, tornou-se intérprete profissional em 2012, atuando desde então em congressos internacionais, seminários corporativos e auditorias, com experiência em cenários de alta complexidade. Ao longo dos anos, desenvolveu expertise em gestão de projetos na área, aliando a prática com conhecimento técnico. Acredita que o compartilhamento de conhecimento é essencial para fortalecer a profissão!
;
Marcella Wiffler Stefanini;É doutoranda do Programa de Pós-Graduação em Linguística Aplicada da Unicamp, e estudante de pós-graduação em Audiodescrição pela PUC-Minas. É também mestra em Linguística Aplicada (2020) e licenciada em Letras - Língua Portuguesa (2017) pela Unicamp. Desde sua pesquisa de iniciação científica, estuda a audiodescrição na perspectiva dos Estudos da Tradução e hoje, em sua pesquisa de doutorado, volta-se ao estudo das possibilidades de audiodescrição do terror.
;
Marcelle Castro;Marcelle Castro tem graduação em Tradução Inglês/Português pela Universidade de Brasília (2002) e mestrado em Letras pela Pontifícia Universidade Católica do Rio de Janeiro (2007). É intérprete de conferências desde 2001 e instrutora em cursos de formação de intérpretes desde 2003.
;
Marcelo Neves;Marcelo Neves é tradutor e intérprete desde o final dos anos 90. Começou na indústria automobilística e passou por uma diversidade de segmentos em tradução técnica, audiovisual, literária, além de interpretação simultânea e consecutiva. Participou de dezenas de congressos de tradução no Brasil e exterior, sendo palestrante em vários deles. Mestre em Estudos de Linguagem pela PUC-Rio, é jornalista de formação (também pela PUC-Rio) e tem registro de ator pelo SATED-RJ.
;
Marco Antonio Hruschka Teles;"Marco Antonio Hruschka Teles é graduado em Letras Português-Francês pela Universidade Estadual de Maringá, em 2010. É mestre (2017) e doutor (2024) em Letras (Estudos Literários) pela  mesma instituição, com dissertação sobre A paixão segundo G.H., de Clarice Lispector, à luz da filosofia existencialista, e tese sobre o romance De cada quinhentos uma alma, de Ana Paula Maia, analisado à luz do fantástico. Atualmente, trabalha
como professor de Língua Francesa na universidade que o formou, além de oferecer cursos online no mesmo segmento (@frances_com_marco). É um dos tradutores de As revelações de Arsène Lupin (Madrepérola-2022) e coautor de Abordagens para o ensino de francês língua estrangeira (Eduem-2021)."
;
Marcos Bagno;Marcos Bagno é Doutor em Filologia e Língua Portuguesa pela Universidade de São Paulo (USP), Professor Associado do Instituto de Letras da Universidade de Brasília (UnB). Investiga as dinâmicas sociolinguísticas do português brasileiro, especialmente as relações entre a norma prescritiva convencional, as variedades urbanas de prestígio e as variedades estigmatizadas. Publicou mais de trinta títulos, entre obras literárias e de interesse acadêmico como a Gramática pedagógica do português brasileiro (2012). Ficcionista e poeta, tem recebido diversos prêmios literários. Já traduziu mais de uma centena e meia de livros do inglês, do francês, do espanhol, do italiano e do galego.
;
Marco de Pinto;"Traduções publicadas: O Livro de Dede Korkut (Globo, 2010); As Preces são Imutáveis, Tuna Kiremitçi (Sá, 2010); O Palhaço e sua Filha, Halide Edip Adıvar (Planeta, 2011); Paisagens Humanas do meu País, Nâzım Hikmet (Editora 34, 2015); Madona de casaco de pele, Sabahattin Ali (2021, Tabla Editora); Uma mulher estranha, Leylâ Erbil (2022, Tabla Editora)."
;
Marcos Zattar;Marcos Zattar nascido em Curitiba, começou a se interessar pela língua alemã ainda na faculdade Engenharia Florestal. Em 1996, mudou-se para Alemanha e dois anos depois iniciou seus estudos de tradução na Universidade de Heidelberg e que também atuou como docente da disciplina de tradução técnica do par alemão-português. Em 1999, foi convidado pela Agência de Tradução HCP a integrar a equipe de localização para o português do Brasil das soluções de software empresarial da SAPAG. Tradutor Juramentado, terminologista e revisor, especializou-se em textos de marketing, software e documentação técnica.
;
Marcus Mangetti;"Graduado em Tecnologia da Informação pela FATEC, Marcus tem especialização em Segurança da Informação pela Universidade Anhembi-Morumbi. Trabalha há quase 20 anos na área como técnico de suporte em TI na IMA – autarquia da cidade de Campinas que fornece os serviços e sistemas de TI da administração municipal.
Na Tradução, Marcus tem especialização em Tradução de Inglês e em Tradução Audiovisual, ambas pela Estácio de Sá, participou de cursos livres de Audiodescrição e Tradução Literária, faz traduções voluntárias para as redes Global Voices e Progressive International. Associou-se à Abrates e participou em 2024 do Programa de Mentoria Caminho das Pedras, sob a mentoria da tradutora Andressa Gatto. Também em 2024, participou das edições do Congresso do SINTRA e do PROFT. Como tradutor, atua nos pares inglês-português e italiano-português. Hoje, Marcus faz sua estreia como palestrante, aqui, na Translators101!"
;
Maria Paula Carvalho ;"Sócia fundadora da High5 Tradução, a carioca Maria Paula é intérprete de conferências e tradutora, além de se dedicar à qualidade da experiência de sua clientela avaliando a melhor solução para seus eventos. Ministra workshops e palestras tanto no Brasil quanto exterior. Ela também é editora de materiais paradidáticos com cuidado especial para o uso de linguagem inclusiva.
Recentemente, Maria Paula interpretou a cantora Madonna na transmissão do show Celebration Tour pela Rede Globo."
;
Mariana Almeida;Formada em Administração e em Letras (Licenciatura em Português/Inglês), Especialista em Tradução em Língua Inglesa, Mestre em Ciências Humanas e Sociais pela Universidade Federal do ABC (UFABC), e atualmente faz Doutorado no programa de pós-graduação em Ciências Humanas e Sociais pela mesma instituição, com o tema de pesquisa sobre a integração de refugiados por meio do ensino de português como língua de acolhimento. Trabalha há mais de 7 anos como professora universitária, ministrando aulas em cursos de Pós-graduação lato sensu na área de Comunicação, e em cursos de Letras (licenciatura e bacharelado em tradução). É tradutora na área de Ciências Humanas e Sociais e Jornalismo Ambiental. É professora de língua inglesa e língua portuguesa para estrangeiros, revisora, preparadora de textos e leitora crítica, elaboradora de materiais didáticos e tem experiência como examinadora do CELPE-Bras (Exame de Proficiência em Língua Portuguesa para Estrangeiros). Há 2 anos trabalha como voluntária no curso Nossa Casa, projeto de ensino de língua portuguesa para refugiados oferecido pela Universidade Federal do ABC e participa do Grupo de Estudos em Direitos Humanos e Relações Internacionais na mesma instituição.
;
Mariana Casetto;Mariana é formada em Letras pela Universidade de São Paulo, com especialização em Tradução e Pedagogia. Atua na área editorial, de tradução e revisão de textos desde 2008. Apaixonada por desafios, encontrou, em sua trajetória profissional, oportunidades de aprender e aplicar recursos de diversas áreas do conhecimento, como gestão de projetos, tradução, revisão, redação e criação.
;
Mariana Ciocca Alves Passos;"Formada em Letras (português e inglês) pela USP, Mariana Ciocca
Alves Passos começou sua carreira de tradução ainda na faculdade. Ela mora na Irlanda desde 2010 com o marido e as três filhas. Depois de mais de 10 anos trabalhando como tradutora e revisora freelancer, ela agora é Language Lead na ServiceNow, uma empresa de PaaS (Platform as Service). Ela também é integrante do Comitê Executivo da Associação Irlandesa de Tradutores e Intérpretes (Irish Translators’ and Interpreters’ Association – ITIA)."
;
